global_bar,layer,local_bar,entries,mean_ns,stddev_ns,stddev_error_ns,underflow,overflow,status
73,1,73,228,-29.3570579564,5.79039334642,0.271160012587,0,0,accepted
74,1,74,368,-27.4849656019,5.58992271514,0.206047284969,0,0,accepted
75,1,75,240,-27.3105955123,5.54319350743,0.253011010387,0,0,accepted
76,1,76,551,-28.3636428703,5.17947136723,0.156025160973,0,0,accepted
77,1,77,952,-27.2896396145,5.98311016816,0.137117702468,0,0,accepted
78,1,78,630,-26.9326884544,5.38347079934,0.151662108376,0,0,accepted
79,1,79,1015,-26.2238259078,5.9197401002,0.131387673005,0,0,accepted
80,1,80,520,-26.8644589257,6.24649285887,0.193695520966,0,0,accepted
81,1,81,6,-28.9146265006,5.16160279896,1.49002638272,0,0,insufficient_entries
82,1,82,0,,,,0,0,insufficient_entries
83,1,83,0,,,,0,0,insufficient_entries
84,2,0,0,,,,0,0,insufficient_entries
85,2,1,0,,,,0,0,insufficient_entries
86,2,2,8,-26.4909334595,5.73978192873,1.43494548218,0,0,insufficient_entries
87,2,3,9,-32.4347372261,5.14472728855,1.21262385103,0,0,insufficient_entries
88,2,4,7,-29.4471066616,4.28863535628,1.14618601143,0,0,insufficient_entries
89,2,5,5,-27.1528778699,3.97461151156,1.25688251908,0,0,insufficient_entries
90,2,6,10,-30.5334678157,5.05213259325,1.12969119098,0,0,insufficient_entries
91,2,7,10,-26.6678530984,8.14967021208,1.82232165884,0,0,insufficient_entries
92,2,8,20,-28.1052613625,4.70971488257,0.744671307946,0,0,insufficient_entries
93,2,9,20,-26.6296251099,5.74431758397,0.908256358436,0,0,insufficient_entries
94,2,10,80,-26.6277815745,5.92717273145,0.468584147916,0,0,accepted
95,2,11,77,-26.0762976956,5.83516689532,0.470211148317,0,0,accepted
96,2,12,34,-29.022748044,4.70471127409,0.570530044739,0,0,accepted
97,2,13,110,-26.5053850627,6.10560926131,0.411640092423,0,0,accepted
98,2,14,105,-28.8480293894,4.7972513756,0.331041795381,0,0,accepted
99,2,15,123,-28.1759614472,4.89396905806,0.312028070587,0,0,accepted
100,2,16,42,-26.8413638178,4.65785616609,0.508213772793,0,0,accepted
101,2,17,63,-27.3079506599,4.93920503227,0.440019356995,0,0,accepted
102,2,18,48,-28.655241018,4.40303679592,0.449383061196,0,0,accepted
103,2,19,17,-28.0836704246,6.22771263373,1.06804390536,0,0,insufficient_entries
104,2,20,57,-27.6957195804,5.66764441211,0.530823534148,0,0,accepted
105,2,21,49,-29.8768722599,5.30868654995,0.536258322666,0,0,accepted
106,2,22,8,-29.2476439887,7.14977589601,1.787443974,0,0,insufficient_entries
107,2,23,34,-28.5828023447,5.12908467399,0.621992878635,0,0,accepted
108,2,24,21,-26.9874007376,6.24509284523,0.963638746843,0,0,insufficient_entries
109,2,25,311,-26.8150838203,4.5414935784,0.182097302364,0,0,accepted
110,2,26,541,-27.8978843031,4.88080391795,0.148380807501,0,0,accepted
111,2,27,723,-29.1827997928,5.15342009775,0.135522498691,0,0,accepted
112,2,28,1208,-28.8945178742,5.45551894333,0.110990958817,0,0,accepted
113,2,29,674,-28.3150984295,5.69131399283,0.15501281407,0,0,accepted
114,2,30,577,-27.1872272536,4.98398587126,0.146714790594,0,0,accepted
115,2,31,449,-28.1451105634,5.08830350608,0.16979888723,0,0,accepted
116,2,32,1036,-28.3924464614,5.55658755103,0.122071220296,0,0,accepted
117,2,33,464,-29.0940889778,5.54125842235,0.181900719248,0,0,accepted
118,2,34,258,-29.1854219073,5.31564359247,0.234008160935,0,0,accepted
119,2,35,992,-28.9601414378,5.41263794273,0.121517309058,0,0,accepted
120,2,36,799,-27.6283741842,5.88127673972,0.147123899683,0,0,accepted
121,2,37,919,-26.3164364479,6.19458270561,0.144490502748,0,0,accepted
122,2,38,622,-26.4405346072,6.11474550961,0.173367703592,0,0,accepted
123,2,39,36,-28.4251472116,5.10271218763,0.601360398386,0,0,accepted
124,2,40,0,,,,0,0,insufficient_entries
125,2,41,0,,,,0,0,insufficient_entries
126,2,42,0,,,,0,0,insufficient_entries
127,2,43,0,,,,0,0,insufficient_entries
128,2,44,11,-30.8540843251,2.70416881841,0.57653072923,0,0,insufficient_entries
129,2,45,16,-26.4364253802,5.80077511911,1.02544185571,0,0,insufficient_entries
130,2,46,1,,,,0,0,insufficient_entries
131,2,47,11,-28.0398219984,4.30517509674,0.917866414661,0,0,insufficient_entries
132,2,48,7,-32.511608106,3.8210810819,1.0212268754,0,0,insufficient_entries
133,2,49,2,-29.9158313149,2.58803628884,1.29401814442,0,0,insufficient_entries
134,2,50,30,-30.1993682877,5.05746104874,0.652915413862,0,0,accepted
135,2,51,14,-27.7919652401,5.72873033002,1.0826282701,0,0,insufficient_entries
136,2,52,0,,,,0,0,insufficient_entries
137,2,53,0,,,,0,0,insufficient_entries
138,2,54,20,-28.8027412401,4.73905050095,0.749309676479,0,0,insufficient_entries
139,2,55,31,-27.9086005938,3.75892359036,0.47738377336,0,0,accepted
140,2,56,78,-26.7781385287,5.98307421452,0.479029314025,0,0,accepted
141,2,57,68,-26.8255246322,5.08381878844,0.435933864669,0,0,accepted
142,2,58,62,-27.2263859537,5.86249125247,0.526467256014,0,0,accepted
143,2,59,26,-26.3027210442,6.23104617138,0.864090633488,0,0,insufficient_entries
144,2,60,61,-25.5082851199,4.74824246767,0.429885674201,0,0,accepted
145,2,61,19,-28.7723791013,5.25963468784,0.853225413689,0,0,insufficient_entries
146,2,62,45,-29.5264194716,5.82024422057,0.613507609181,0,0,accepted
147,2,63,23,-32.3380784807,4.67859941366,0.689821849615,0,0,insufficient_entries
148,2,64,73,-29.8537693212,5.4660971694,0.452377420506,0,0,accepted
149,2,65,58,-29.4313278474,4.57383773864,0.424670172822,0,0,accepted
150,2,66,173,-30.1338829618,4.94347353477,0.265762783688,0,0,accepted
151,2,67,275,-28.4461418817,4.90553521351,0.209172724325,0,0,accepted
152,2,68,612,-28.6083515218,5.45720082314,0.155983703334,0,0,accepted
153,2,69,275,-29.3393443999,5.35308174557,0.228256172573,0,0,accepted
154,2,70,23,-30.7458043175,5.76974171308,0.850702004686,0,0,insufficient_entries
155,2,71,0,,,,0,0,insufficient_entries
156,2,72,37,-27.8388262238,5.10285798355,0.593195191433,0,0,accepted
157,2,73,40,-29.7643136341,6.94756591177,0.776761482843,0,0,accepted
158,2,74,188,-28.9445637916,5.98692787183,0.308752230341,0,0,accepted
159,2,75,92,-28.8623703743,6.31671457076,0.465674376392,0,0,accepted
160,2,76,587,-28.1687922497,5.20472061729,0.151901958608,0,0,accepted
161,2,77,772,-28.0971964676,5.32147460211,0.135427962852,0,0,accepted
162,2,78,560,-28.3139765483,5.47510310293,0.163599996692,0,0,accepted
163,2,79,667,-27.8425891584,4.99651643304,0.13680104198,0,0,accepted
164,2,80,299,-28.9318574195,4.86013885913,0.198745857659,0,0,accepted
165,2,81,45,-28.190546084,5.4173695465,0.571040889792,0,0,accepted
166,2,82,0,,,,0,0,insufficient_entries
167,2,83,0,,,,0,0,insufficient_entries
